Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Begüm:),www,browseTitlesGallery,/latest?jbv=81580070,/latest,2025-03-22 20:47:37
Begüm:),www,browseTitlesGallery,/latest,/browse/genre/34399,2025-03-22 20:47:37
Begüm:),www,movieDetails,/latest,/latest?jbv=81580070,2025-03-22 20:47:07
Begüm:),www,browseTitlesGallery,/latest?jbv=81580070,/latest,2025-03-22 20:47:07
Begüm:),www,browseTitlesGallery,/notification/3184929b-ecc6-4c47-98e6-fc680209e293,/latest,2025-03-22 20:46:57
Begüm:),www,browseTitlesGallery,/latest,/latest?jbv=81580070,2025-03-22 20:46:57
Begüm:),www,notificationLanding,/browse,/notification/3184929b-ecc6-4c47-98e6-fc680209e293,2025-03-22 20:46:26
Begüm:),www,browseTitlesGallery,/notification/3184929b-ecc6-4c47-98e6-fc680209e293,/latest,2025-03-22 20:46:26
Begüm:),www,browseTitles,/browse?jbv=81756069,/browse,2025-03-22 20:46:05
Begüm:),www,notificationLanding,/browse,/notification/3184929b-ecc6-4c47-98e6-fc680209e293,2025-03-22 20:46:05
Begüm:),www,movieDetails,/browse,/browse?jbv=81756069,2025-03-22 20:45:58
Begüm:),www,browseTitles,/browse?jbv=81756069,/browse,2025-03-22 20:45:58
Begüm:),www,browseTitles,/watch/82001181?trackId=14170286&tctx=2%2C0%2C1f8f4020-bf7f-4009-9c41-2a57696a0107-615623983%2CNES_866981D5C426D0752528AD48B5B9E3-994911DC4F528C-7966146528_p_1742499843928%2CNES_866981D5C426D0752528AD48B5B9E3_p_1742499836028%2C%2C%2C%2C%2CVideo%3A82001173%2CminiDpPlayButton,/browse,2025-03-22 20:45:49
Begüm:),www,browseTitles,/browse,/browse?jbv=81756069,2025-03-22 20:45:49
Begüm:),www,playback,/browse,/watch/82001181?trackId=14170286&tctx=2%2C0%2C1f8f4020-bf7f-4009-9c41-2a57696a0107-615623983%2CNES_866981D5C426D0752528AD48B5B9E3-994911DC4F528C-7966146528_p_1742499843928%2CNES_866981D5C426D0752528AD48B5B9E3_p_1742499836028%2C%2C%2C%2C%2CVideo%3A82001173%2CminiDpPlayButton,2025-03-22 20:45:29
Begüm:),www,browseTitles,/watch/82001181?trackId=14170286&tctx=2%2C0%2C1f8f4020-bf7f-4009-9c41-2a57696a0107-615623983%2CNES_866981D5C426D0752528AD48B5B9E3-994911DC4F528C-7966146528_p_1742499843928%2CNES_866981D5C426D0752528AD48B5B9E3_p_1742499836028%2C%2C%2C%2C%2CVideo%3A82001173%2CminiDpPlayButton,/browse,2025-03-22 20:45:29
Begüm:),iOS,playback,,,2025-03-21 21:36:24
Begüm:),iOS,showDetails,,,2025-03-21 21:36:24
Begüm:),iOS,showDetails,,,2025-03-21 21:12:41
