Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,176.234.217.202,TR,Istanbul,AYDINLAR MAH.,2025-03-15 18:19:39
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,78.184.69.171,TR,Ankara,ASAGIOVECLER MAH.,2025-01-25 19:34:25
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,82.222.121.17,TR,Istanbul,CAMCESME MAH.,2024-09-24 14:41:43
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,88.238.143.46,TR,Ankara,BUYUKESAT MAH.,2024-07-11 17:54:39
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,78.184.119.214,TR,Ankara,BIRLIK MAH.,2024-08-20 06:47:57
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,82.222.120.129,TR,Istanbul,CAMLIK MAH.,2025-02-22 14:31:36
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,92.44.102.17,TR,Kocaeli,AKSE MAH.,2025-02-28 16:58:29
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,159.20.69.16,TR,Istanbul,FATIH MAH.,2024-06-11 13:01:35
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,78.184.119.214,TR,Ankara,BALGAT,2024-09-16 17:34:15
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,92.44.147.178,TR,Istanbul,AYDINTEPE MAH.,2024-05-31 23:41:22
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,78.184.97.190,TR,Ankara,BIRLIK MAH.,2025-01-14 15:47:21
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,159.20.69.5,TR,Istanbul,FATIH MAH.,2024-10-31 06:46:10
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,92.44.149.233,TR,Istanbul,KISIKLI,2024-11-25 13:05:11
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,176.234.221.109,TR,Duzce,BEYCILER MAH.,2024-10-21 08:16:25
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,176.234.93.173,TR,Istanbul,CAMLIK MAH.,2025-02-08 00:06:30
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,159.20.69.16,TR,Istanbul,ORHANLI,2024-06-13 17:50:06
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,176.234.217.123,TR,Istanbul,CAMI MAH.,2025-02-10 22:58:48
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,159.20.69.16,TR,Istanbul,ORHANLI,2025-02-23 14:54:59
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,92.44.151.123,TR,Istanbul,CAMLIK MAH.,2024-09-18 22:22:09
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,159.20.69.17,TR,Istanbul,FATIH MAH.,2024-10-24 18:12:07
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,78.184.102.180,TR,Ankara,HILAL MAH.,2024-08-14 15:01:13
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,78.184.119.214,TR,Ankara,BAHCELIEVLER,2024-09-09 19:54:57
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,159.20.69.16,TR,Istanbul,FATIH MAH.,2025-03-13 19:09:47
NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,safari-cadmium,safari-cadmium,88.238.143.41,TR,Ankara,HILAL MAH.,2024-06-19 09:40:23
NFCDSF-01-LPNY40X5LKUAK7AKC346UW2YUHUC9N,safari-cadmium,safari-cadmium,176.234.89.140,TR,Kocaeli,KETENCILER,2024-12-24 18:08:14
NFCDSF-01-LQLJNRHPMQ112W4WCNVVT5NF2PXHEC,safari-cadmium,safari-cadmium,92.44.102.17,TR,Istanbul,GOZTEPE,2025-01-04 23:39:52
NFCDSF-01-LQP0QM0UCJ7FL07JJDFXM7V8QN6MNY,safari-cadmium,safari-cadmium,176.234.93.173,TR,Istanbul,CAMLIK MAH.,2025-01-05 22:09:02
NFPS5-001-KWM5KFJ8E920NPP5EQ5FZZ2Q1R,PS5 Gemini,PS5 Gemini,176.234.95.2,TR,Istanbul,GIRNE MAH.,2024-11-16 00:31:45
NFPS5-001-KWM5KFJ8E920NPP5EQ5FZZ2Q1R,PS5 Gemini,PS5 Gemini,92.44.150.64,TR,Istanbul,ARMAGANEVLER MAH.,2024-11-16 00:30:06
NFPS5-001-KWM5KFJ8E920NPP5EQ5FZZ2Q1R,PS5 Gemini,PS5 Gemini,92.44.147.60,TR,Istanbul,YENISEHIR MAH.,2024-07-25 20:09:56
NFPS5-001-KWM5KFJ8E920NPP5EQ5FZZ2Q1R,PS5 Gemini,PS5 Gemini,176.234.89.243,TR,Istanbul,CAMLIK MAH.,2024-10-10 18:15:42
NFPS5-001-KWM5KFJ8E920NPP5EQ5FZZ2Q1R,PS5 Gemini,PS5 Gemini,176.234.221.109,TR,Duzce,BEYCILER MAH.,2024-10-22 17:30:14
NFPS5-001-KWM5KFJ8E920NPP5EQ5FZZ2Q1R,PS5 Gemini,PS5 Gemini,176.234.92.24,TR,Kocaeli,KULLAR,2024-11-15 22:38:38
